Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
0,1,1,2,1,1,2,5,3,50.0
1,1,2,2,1,1,1,3,2,70.0
0,1,1,5,1,1,2,2,3,50.0
0,1,0,0,0,0,1,3,1,36.5
0,1,0,0,0,0,2,3,5,50.0
0,1,0,0,0,0,3,6,5,90.0
1,1,3,4,2,1,2,5,4,65.0
0,1,0,0,0,0,3,0,4,90.0
1,1,1,3,2,1,1,2,1,70.0
1,1,4,5,3,1,4,6,6,80.0
1,1,4,3,2,1,3,6,6,65.0
0,1,3,5,1,1,4,5,5,90.0
1,1,4,3,3,1,3,4,5,70.0
1,1,4,5,5,1,3,6,6,92.0
0,1,4,5,2,1,2,4,4,85.0
1,1,4,4,2,1,2,5,5,93.0
1,1,4,4,2,1,2,3,2,77.0
1,1,4,4,2,1,1,2,3,93.0
0,1,3,5,1,1,1,3,3,50.0
1,1,4,1,2,1,2,4,4,55.0
0,1,1,5,1,1,1,2,1,93.0
1,1,4,1,4,1,1,4,4,50.0
1,1,4,5,5,1,2,5,3,65.0
1,1,4,1,3,1,1,4,4,50.0
1,1,0,0,0,0,1,2,1,60.0
0,1,1,4,3,1,1,3,1,70.0
0,1,1,4,2,1,2,3,3,95.0
1,1,0,0,0,0,2,6,4,100.0
0,1,2,5,1,1,2,3,2,80.0
0,1,1,2,1,1,2,2,2,90.7
0,1,2,3,2,1,2,4,4,78.0
0,1,1,2,1,1,2,4,4,60.0
1,1,1,5,2,1,3,5,4,95.0
0,1,0,0,0,0,3,4,2,75.0
1,1,3,1,3,1,3,4,4,65.0
1,1,1,1,2,1,2,2,3,68.0
1,1,1,3,3,1,3,6,6,75.0
0,1,0,0,0,0,1,4,4,70.0
1,1,1,4,2,1,4,4,4,85.0
1,1,1,3,1,1,3,4,3,70.0
1,1,2,4,3,1,2,5,2,64.0
1,1,2,1,2,1,2,2,4,42.35
0,1,4,5,2,1,2,3,2,55.0
0,1,0,0,0,0,2,5,5,72.5
1,1,1,3,1,1,3,3,3,55.0
0,1,2,2,2,1,1,2,3,65.0
0,2,0,0,0,0,2,1,3,85.0
0,2,0,0,0,0,2,4,4,60.0
1,2,1,1,3,1,3,4,4,75.0
1,2,4,5,2,1,2,3,3,40.0
1,2,4,3,2,1,1,2,2,50.0
1,2,4,1,4,1,1,4,4,45.0
1,2,1,5,1,1,1,3,4,55.0
1,2,2,3,3,1,1,3,3,63.0
1,2,1,5,1,1,2,2,3,50.0
1,2,3,3,2,1,1,2,4,40.0
1,2,1,5,2,1,1,3,1,40.0
0,2,1,5,1,1,1,2,3,86.0
0,2,1,3,1,1,1,3,4,62.0
1,2,1,4,1,1,1,2,3,75.0
0,2,1,2,1,1,2,3,2,89.0
1,2,0,0,0,0,2,5,4,75.0
1,2,1,5,1,1,3,2,2,50.0
0,2,1,4,2,1,1,2,2,88.0
0,2,1,2,2,1,2,2,3,90.0
0,2,2,3,3,1,2,5,2,90.0
0,2,0,0,0,0,1,3,2,70.0
1,2,3,5,3,1,2,4,3,48.0
0,2,1,2,1,1,1,4,4,57.75
1,2,1,5,1,1,1,2,2,70.0
0,2,2,3,2,1,1,3,3,70.0
0,2,0,0,0,0,1,5,3,94.0
0,2,3,3,3,1,2,2,2,90.0
1,2,1,4,1,1,3,2,3,60.0
0,2,1,4,1,1,1,2,1,70.0
0,2,2,3,1,1,1,4,2,55.0
0,2,1,3,2,1,1,1,3,66.0
0,2,2,3,2,1,2,4,4,75.0
0,2,4,4,2,1,3,3,2,71.0
1,2,0,0,0,0,2,3,3,75.0
0,2,1,5,1,1,2,4,4,65.0
0,2,1,5,2,1,1,6,5,87.0
1,2,1,2,1,1,3,2,3,68.0
1,2,1,2,1,1,3,3,2,75.0
0,2,3,3,1,1,2,2,3,86.0
0,2,3,1,2,1,3,4,5,55.0
1,2,4,5,5,1,3,4,2,70.0
0,2,3,3,3,1,2,3,3,80.0
1,2,2,1,2,1,1,3,3,91.0
0,2,4,5,1,1,2,4,4,87.0
1,2,4,5,5,1,4,5,5,86.0
